Justice Hill,BAL,RB71,
Younghoe Koo,ATL,K13,
Mohamed Sanu,NE,WR79,
Dan Bailey,MIN,K14,
Tee Higgins,CIN,WR80,
Tampa Bay (TB),,DST19,
Dallas (DAL),,DST20,
Bryce Love,WAS,RB72,
Jason Myers,SEA,K15,
New York (NYJ),,DST21,
Jerick McKinnon,SF,RB73,
Brandon McManus,DEN,K16,
Nick Foles,CHI,QB32,
Danny Amendola,DET,WR81,
Gus Edwards,BAL,RB74,
Chris Boswell,PIT,K17,
Josh Reynolds,LAR,WR82,
Rex Burkhead,NE,RB75,
Jaylen Samuels,PIT,RB76,
Joey Slye,CAR,K18,
Chris Conley,JAC,WR83,
Jimmy Graham,CHI,TE31,
David Njoku,CLE,TE32,
Dion Lewis,NYG,RB77,
Miles Boykin,BAL,WR84,
Darwin Thompson,KC,RB78,
Stephen Hauschka,BUF,K19,
Peyton Barber,WAS,RB79,
Russell Gage,ATL,WR85,
Houston (HOU),,DST22,
Austin Seibert,CLE,K20,
Tua Tagovailoa,MIA,QB33,
Josh Lambo,JAC,K21,
Washington (WAS),,DST23,
Andy Isabella,ARI,WR86,
Tre'Quan Smith,NO,WR87,
Mitch Trubisky,CHI,QB34,
Dare Ogunbowale,TB,RB80,
Tyler Eifert,JAC,TE33,
Devonta Freeman,FA,RB81,
Brian Hill,ATL,RB82,
LeSean McCoy,TB,RB83,
Brett Maher,NYJ,K22,
Jacksonville (JAC),,DST24,
Vance McDonald,PIT,TE34,
