10.05,113.3,Mecole Hardman,KC,WR,390,8.7,90,145,12
10.06,113.8,Corey Davis,NYJ,WR,1286,11.5,83,150,6
10.06,114,Jarvis Landry,CLE,WR,385,9,90,150,13
10.08,115.8,Latavius Murray,NO,RB,316,9.5,91,148,6
10.09,116.8,Darnell Mooney,CHI,WR,523,7.7,96,149,10
10.09,116.8,Rob Gronkowski,TB,TE,385,16.6,73,167,9
10.1,118.4,Nyheim Hines,IND,RB,393,10.3,91,148,14
10.11,119.4,Henry Ruggs III,LV,WR,277,8.2,98,144,8
11.01,121.5,Washington Defense,WAS,DEF,505,9.7,96,150,9
11.02,122.5,Xavier Jones,LAR,RB,196,12.1,91,150,11
11.04,123.6,J.D. McKissic,WAS,RB,408,11.3,94,150,9
11.04,123.8,Tampa Bay Defense,TB,DEF,405,11.4,94,149,9
11.04,123.9,Trevor Lawrence,JAX,QB,290,10,98,148,7
11.06,125.6,Rashaad Penny,SEA,RB,402,11.3,96,151,9
11.06,126.4,Trey Lance,SF,QB,646,12.4,94,150,6
11.07,127.1,Matt Ryan,ATL,QB,293,12.9,93,168,6
11.08,128,Tevin Coleman,NYJ,RB,221,11.6,97,184,6
11.08,128.3,Giovani Bernard,TB,RB,310,12.4,96,153,9
11.1,129.8,Curtis Samuel,WAS,WR,318,9.3,105,158,9
11.1,130.4,Jonnu Smith,NE,TE,691,15.8,89,177,14
11.11,130.5,Marquez Callaway,NO,WR,855,14.3,93,174,6
11.11,130.8,Marvin Jones,JAX,WR,469,11.8,100,152,7
11.11,131.1,Elijah Moore,NYJ,WR,292,10.1,104,169,6
11.12,132.4,Chuba Hubbard,CAR,RB,284,12.6,99,169,13
12.01,132.6,Baltimore Defense,BAL,DEF,353,10,106,156,8
12.01,133.2,Marquise Brown,BAL,WR,176,8.5,111,150,8
12.02,133.7,Michael Gallup,DAL,WR,265,13.9,97,168,7
12.02,134.3,Baker Mayfield,CLE,QB,240,14,97,171,13
12.03,134.8,Sony Michel,LAR,RB,579,25.2,69,210,11
12.06,137.6,Harrison Butker,KC,PK,847,18.8,88,177,12
12.06,137.7,Justin Fields,CHI,QB,525,12.9,104,175,10
12.06,137.8,Irv Smith Jr.,MIN,TE,739,19.3,87,180,7
12.08,140,New England Defense,NE,DEF,328,12,108,175,14
12.08,140.2,Deshaun Watson,HOU,QB,175,14.1,103,174,10
12.09,140.7,Justin Tucker,BAL,PK,523,18.9,91,180,8
12.09,141.5,Russell Gage,ATL,WR,305,11.4,111,175,6
12.11,142.7,San Francisco Defense,SF,DEF,348,12.7,109,171,6
12.12,143.6,Younghoe Koo,ATL,PK,286,19.5,92,184,6
13.02,146.1,Marlon Mack,IND,RB,175,15.5,105,187,14
13.02,146.3,Kirk Cousins,MIN,QB,158,20.6,92,180,7
13.03,147.1,Ryan Succop,TB,PK,150,17.6,111,191,9
13.03,147.3,Jason Sanders,MIA,PK,171,17.8,100,189,14
13.03,147.4,Darrel Williams,KC,RB,230,15.6,106,177,12
13.04,148.3,Indianapolis Defense,IND,DEF,189,13.1,114,174,14
13.05,149,Malcolm Brown,MIA,RB,158,14.5,111,180,14
13.05,149.1,Matt Prater,ARI,PK,125,15.4,109,185,12
13.05,149.3,Greg Zuerlein,DAL,PK,165,17.9,102,184,7
13.05,149.5,Rhamondre Stevenson,NE,RB,373,18,102,180,14
13.07,151.5,Jakobi Meyers,NE,WR,331,16.7,108,182,14
13.07,151.5,Tarik Cohen,CHI,RB,102,17,111,190,10
13.08,151.5,Rodrigo Blankenship,IND,PK,125,17.7,115,188,14
13.09,152.5,Tyler Bass,BUF,PK,157,18.1,105,188,7
13.09,153,DeVante Parker,MIA,WR,165,14.3,115,178,14
13.1,154,Devontae Booker,NYG,RB,174,17.4,108,183,10
13.1,154.3,Adam Trautman,NO,TE,143,21.7,98,194,6
13.1,154.5,Evan Engram,NYG,TE,268,20.2,101,202,10
13.12,156.2,Ben Roethlisberger,PIT,QB,181,19.8,104,196,7
13.12,156.3,Tua Tagovailoa,MIA,QB,238,14.9,117,180,14
14.01,156.8,Denver Defense,DEN,DEF,338,16.6,113,193,11
14.01,157.3,Bryan Edwards,LV,WR,144,14.1,120,180,8
14.01,157.4,Hunter Henry,NE,TE,148,33.1,71,208,14
14.02,158.1,T.Y. Hilton,IND,WR,151,16.5,115,180,14
14.03,159,Cole Beasley,BUF,WR,174,14.5,121,193,7
14.03,159.2,Ryan Fitzpatrick,WAS,QB,159,16.3,116,197,9
14.03,159.2,James White,NE,RB,195,16.9,115,198,14
14.04,159.9,Ty Johnson,NYJ,RB,33,27.4,103,209,6
14.04,160.3,Cleveland Defense,CLE,DEF,336,13.8,124,193,13
14.04,160.4,Pat Freiermuth,PIT,TE,54,29.5,84,210,7
14.05,161.2,Buffalo Defense,BUF,DEF,282,16.3,118,198,7
14.06,161.5,A.J. Green,ARI,WR,149,16.8,117,194,12
14.06,161.8,Jameis Winston,NO,QB,202,19.5,111,207,6
14.06,161.8,Robbie Gould,SF,PK,184,13.6,126,191,6
14.06,161.8,Mark Ingram,HOU,RB,67,22.4,103,203,10
14.07,162.8,Nelson Agholor,NE,WR,94,14.9,124,187,14
14.07,163.1,Damien Williams,CHI,RB,74,16.2,120,197,10
14.07,163.2,Randall Cobb,GB,WR,39,23.2,103,208,13
14.08,163.5,Blake Jarwin,DAL,TE,37,27.7,91,205,7
14.08,163.7,Rondale Moore,ARI,WR,100,14.6,125,199,12
14.08,163.9,Zach Ertz,PHI,TE,101,27.9,91,210,14
14.08,163.9,Matt Gay,LAR,PK,187,14,137,203,11
14.08,163.9,Amon-Ra St. Brown,DET,WR,100,24.2,101,195,9
14.09,164.6,Mason Crosby,GB,PK,136,13.6,139,201,13
14.1,165.6,Gerald Everett,SEA,TE,112,24.3,104,210,9
14.11,166.7,Justin Jackson,LAC,RB,68,20.6,113,198,7
14.11,167.5,Zach Wilson,NYJ,QB,80,23.2,107,204,6
14.12,167.5,Kansas City Defense,KC,DEF,33,22.3,114,200,12
14.12,167.7,Tre'Quan Smith,NO,WR,48,23.6,106,205,6
14.12,167.9,Minnesota Defense,MIN,DEF,27,23.8,109,209,7
15.01,169.1,Jalen Reagor,PHI,WR,34,27.5,97,210,14
15.01,169.2,Terrace Marshall Jr.,CAR,WR,59,18.5,121,206,13
15.02,169.5,Jerick McKinnon,KC,RB,53,24.7,123,208,12
15.03,170.6,LA Chargers Defense,LAC,DEF,29,21.6,131,210,7
15.03,171.4,Kenneth Gainwell,PHI,RB,75,19.4,130,209,14
15.04,171.8,Jason Myers,SEA,PK,143,16.7,128,207,9
15.04,171.8,Darrynton Evans,TEN,RB,22,23.9,135,210,13
15.04,172.2,Jared Cook,LAC,TE,40,23,112,210,7
15.05,172.8,Miami Defense,MIA,DEF,132,16.7,129,208,14
15.07,174.6,Salvon Ahmed,MIA,RB,43,18.6,129,200,14
15.07,175.5,Chicago Defense,CHI,DEF,78,21.9,118,207,10
15.08,176,Michael Badgley,LAC,PK,43,20.6,122,210,7
15.09,176.5,Rashod Bateman,BAL,WR,43,20.9,122,208,8
15.1,177.5,Wil Lutz,NO,PK,87,15.4,141,210,6
15.1,177.6,Brandon McManus,DEN,PK,44,18.3,139,210,11
15.12,180.3,Carson Wentz,IND,QB,32,16.7,147,208,14
16.01,181.3,Daniel Carlson,LV,PK,76,21,126,210,8
