"117","8","","Ben Roethlisberger","PIT","QB15","8","69","172","121.6","15.4","122.0","+5.0"
"118","9","","Alexander Mattison","MIN","RB44","7","53","201","124.5","21.0","120.0","+2.0"
"119","9","","Ryan Tannehill","TEN","QB16","7","55","171","126.8","18.7","128.0","+9.0"
"120","9","","Baker Mayfield","CLE","QB17","9","53","200","127.0","19.5","110.0","-10.0"
"121","9","","Noah Fant","DEN","TE13","8","69","234","124.2","19.0","105.0","-16.0"
"122","9","","Jared Goff","LAR","QB18","9","66","177","128.9","18.6","125.0","+3.0"
"123","9","","Jonnu Smith","TEN","TE14","7","62","209","130.6","21.2","155.0","+32.0"
"124","9","","Mike Gesicki","MIA","TE15","11","69","232","129.4","24.7","127.0","+3.0"
"125","9","","Golden Tate","NYG","WR48","11","74","213","127.3","24.3","129.0","+4.0"
"126","9","","Preston Williams","MIA","WR49","11","67","198","127.3","23.8","132.0","+6.0"
"127","9","","Tarik Cohen","CHI","RB45","11","84","207","133.7","16.4","145.0","+18.0"
"128","9","","Mecole Hardman","KC","WR50","10","75","226","131.1","29.8","113.0","-15.0"
"129","9","","Jerry Jeudy","DEN","WR51","8","64","326","122.4","33.3","117.0","-12.0"
"130","9","","Darrell Henderson","LAR","RB46","9","83","276","135.0","24.2","106.0","-24.0"
"131","9","","Cam Newton","NE","QB19","6","49","363","133.3","52.2","187.0","+56.0"
"132","9","","Zack Moss","BUF","RB47","11","88","308","130.6","29.9","146.0","+14.0"
"133","9","","T.J. Hockenson","DET","TE16","5","94","229","137.7","21.4","134.0","+1.0"
"134","9","","Justin Jefferson","MIN","WR52","7","73","332","130.2","40.3","135.0","+1.0"
"135","9","","Dallas Goedert","PHI","TE17","9","92","246","137.2","23.3","124.0","-11.0"
"136","9","","Henry Ruggs III","LV","WR53","6","72","331","134.6","40.5","131.0","-5.0"
"137","9","","Breshad Perriman","NYJ","WR54","11","65","279","139.3","32.3","151.0","+14.0"
"138","9","","Duke Johnson","HOU","RB48","8","91","217","146.8","20.4","154.0","+16.0"
"139","9","","Tony Pollard","DAL","RB49","10","84","257","146.9","23.8","137.0","-2.0"
"140","9","","Joe Burrow","CIN","QB20","9","51","328","144.9","32.2","158.0","+18.0"
"141","9","","Robby Anderson","CAR","WR55","13","67","203","136.3","28.5","118.0","-23.0"
"142","9","","Jalen Reagor","PHI","WR56","9","79","333","143.9","40.0","172.0","+30.0"
